TimestampS,WaitTimeUs,CPU
58.242,15625,0
58.369,15625,0
58.459,15625,0
58.493,15625,0
58.539,15625,0
58.559,15625,0
58.726,15625,0
58.743,15625,0
58.775,15625,0
58.849,15625,0
58.882,15625,0
58.946,15625,0
59.071,15625,0
59.093,15625,0
59.115,15625,0
59.176,15625,0
59.177,15625,0
59.209,15625,0
59.276,15625,0
59.304,15625,0
59.341,15625,0
59.443,15625,0
59.507,15625,0
59.608,15625,0
59.703,15625,0
59.709,15625,0
59.724,15625,0
59.743,15625,0
59.776,15625,0
59.843,15625,0
59.852,15625,0
59.911,15625,0
59.974,15625,0
60.037,15625,0
60.093,15625,0
60.133,15625,0
60.162,15625,0
60.225,15625,0
60.243,15625,0
60.343,15625,0
60.385,15625,0
60.476,15625,0
60.509,15625,0
60.520,15625,0
60.559,15625,0
60.618,15625,0
60.809,15625,0
60.902,15625,0
60.920,15625,0
61.058,15625,0
61.071,15625,0
61.091,15625,0
61.133,15625,0
61.176,15625,0
61.226,15625,0
61.276,15625,0
61.293,15625,0
61.431,15625,0
61.459,15625,0
61.558,15625,0
61.630,15625,0
61.659,15625,0
61.709,15625,0
61.743,15625,0
61.809,15625,0
61.843,15625,0
61.893,15625,0
61.959,15625,0
61.976,15625,0
62.038,15625,0
62.069,15625,0
62.101,15625,0
62.122,15625,0
62.177,15625,0
62.226,15625,0
62.243,15625,0
62.350,15625,0
62.432,15625,0
62.459,15625,0
62.476,15625,0
62.509,15625,0
62.559,15625,0
62.584,15625,0
62.603,15625,0
62.669,15625,0
62.726,15625,0
62.775,15625,0
62.826,15625,0
62.858,15625,0
62.936,15625,0
62.976,15625,0
63.059,15625,0
63.110,15625,0
63.126,15625,0
63.209,15625,0
63.321,15625,0
63.334,15625,0
63.383,15625,0
63.404,15625,0
63.428,15625,0
63.459,15625,0
63.476,15625,0
63.493,15625,0
63.526,15625,0
63.574,15625,0
63.675,15625,0
63.693,15625,0
63.759,15625,0
63.776,15625,0
63.843,15625,0
63.854,15625,0
63.868,15625,0
63.930,15625,0
63.960,15625,0
63.993,15625,0
64.009,15625,0
64.256,15625,0
64.308,15625,0
64.342,15625,0
64.350,15625,0
64.371,15625,0
64.391,15625,0
64.459,15625,0
64.475,15625,0
64.493,15625,0
64.526,15625,0
64.556,15625,0
64.593,15625,0
64.743,15625,0
64.776,15625,0
64.809,15625,0
64.826,15625,0
64.843,15625,0
64.874,15625,0
64.943,15625,0
65.009,15625,0
65.107,15625,0
65.259,15625,0
65.272,15625,0
65.309,15625,0
65.326,15625,0
65.416,15625,0
65.443,15625,0
65.459,15625,0
65.569,15625,0
65.618,15625,0
65.809,15625,0
65.989,15625,0
66.069,15625,0
66.086,15625,0
66.109,15625,0
66.288,15625,0
66.326,15625,0
66.370,15625,0
66.476,15625,0
66.509,15625,0
66.526,15625,0
66.553,15625,0
66.602,15625,0
66.664,15625,0
66.759,15625,0
66.791,15625,0
66.820,15625,0
66.882,15625,0
66.909,15625,0
66.959,15625,0
67.084,15625,0
67.102,15625,0
67.123,15625,0
67.242,15625,0
67.259,15625,0
67.309,15625,0
67.334,15625,0
67.355,15625,0
67.443,15625,0
67.510,15625,0
67.543,15625,0
67.559,15625,0
67.630,15625,0
67.709,15625,0
67.743,15625,0
67.870,15625,0
67.912,15625,0
67.933,15625,0
67.959,15625,0
68.009,15625,0
68.026,15625,0
68.059,15625,0
68.104,15625,0
68.169,15625,0
68.243,15625,0
68.290,15625,0
68.309,15625,0
68.339,15625,0
68.359,15625,0
68.526,15625,0
68.787,15625,0
68.803,15625,0
68.893,15625,0
68.900,15625,0
68.934,15625,0
68.976,15625,0
69.009,15625,0
69.026,15625,0
69.040,15625,0
69.073,15625,0
69.083,15625,0
69.099,15625,0
69.159,15625,0
69.209,15625,0
69.293,15625,0
69.323,15625,0
69.336,15625,0
69.400,15625,0
69.443,15625,0
69.493,15625,0
69.586,15625,0
69.607,15625,0
69.630,15625,0
69.682,15625,0
69.776,15625,0
69.792,15625,0
69.927,15625,0
69.959,15625,0
69.976,15625,0
70.008,15625,0
70.226,15625,0
70.243,15625,0
70.276,15625,0
70.304,15625,0
70.334,15625,0
70.458,15625,0
70.505,15625,0
70.572,15625,0
70.585,15625,0
70.648,15625,0
70.669,15625,0
70.688,15625,0
70.857,15625,0
70.890,15625,0
70.959,15625,0
70.976,15625,0
71.009,15625,0
71.131,15625,0
71.151,15625,0
71.209,15625,0
71.318,15625,0
71.376,15625,0
71.381,15625,0
71.476,15625,0
71.505,15625,0
71.526,15625,0
71.569,15625,0
71.609,15625,0
71.626,15625,0
71.634,15625,0
71.675,15625,0
71.709,15625,0
71.759,15625,0
71.776,15625,0
71.889,15625,0
71.909,15625,0
71.976,15625,0
72.009,15625,0
72.026,15625,0
72.036,15625,0
72.091,15625,0
72.119,15625,0
72.131,15625,0
72.177,15625,0
72.309,15625,0
72.343,15625,0
72.373,15625,0
72.381,15625,0
72.409,15625,0
72.432,15625,0
72.492,15625,0
72.576,15625,0
72.600,15625,0
72.648,15625,0
72.835,15625,0
72.851,15625,0
72.899,15625,0
73.009,15625,0
73.026,15625,0
73.176,15625,0
73.240,15625,0
73.293,15625,0
73.342,15625,0
73.350,15625,0
