timestamp_ms,pid,private_mb,workingset_mb,responding
195159,24168,4359.1,4141.4,True
197168,24168,4371.2,4121.5,True
199177,24168,4361,4143.2,True
201191,24168,4361,4143.3,True
203201,24168,4513,4284.7,True
205211,24168,4510.9,4288.4,True
207219,24168,4510.8,4288.3,True
209229,24168,4686.7,4449.6,True
211250,24168,4660.4,4432.6,True
213259,24168,4660.8,4432.9,True
215267,24168,4837.6,4603.1,True
217277,24168,4811.5,4578.3,True
219287,24168,4811.6,4578.3,True
221301,24168,4989,4748.6,True
223312,24168,4962.9,4724.4,True
225320,24168,4962.9,4724.4,True
227328,24168,5139,4893.9,True
229340,24168,5113,4869.2,True
231350,24168,5113,4869.3,True
233368,24168,5149.4,4904.4,True
235378,24168,5114.4,4871.4,True
237388,24168,5114.4,4871.4,True
239397,24168,5264.9,5016.6,True
241405,24168,5264.9,5016.6,True
243418,24168,5264.9,5016.6,True
245426,24168,5414.7,5161.1,True
247435,24168,5414.7,5161.1,True
249443,24168,5414.7,5161.1,True
251452,24168,5565.2,5306.1,True
253468,24168,5565.4,5306.4,True
255476,24168,5565.4,5306.4,True
257486,24168,5716.8,5452.3,True
259494,24168,5716.8,5452.3,True
261503,24168,5716.8,5452.3,True
263511,24168,5866.4,5596.7,True
265524,24168,5866.7,5597,True
267533,24168,5866.8,5597,True
269542,24168,5868.5,5599.7,True
271551,24168,5868.6,5599.7,True
273561,24168,5868.5,5599.7,True
275574,24168,6018.3,5744.1,True
277582,24168,6018.2,5744,True
279592,24168,6018.2,5744,True
281599,24168,6168.2,5888.8,True
283608,24168,6168.3,5888.8,True
285617,24168,6168.3,5888.8,True
287630,24168,6319,6034,True
289640,24168,6319,6034,True
291650,24168,6319,6034,True
293659,24168,6470.4,6180,True
295669,24168,6470.4,6180,True
297689,24168,6470.4,6180.1,True
299699,24168,6620.3,6324.7,True
301706,24168,6620.3,6324.7,True
303716,24168,6620.3,6325,True
305725,24168,6622.1,6327.5,True
307741,24168,6622.1,6327.6,True
309749,24168,6622.1,6327.6,True
311760,24168,6772.4,6472.4,True
313769,24168,6772.4,6472.4,True
315780,24168,6772.5,6472.5,True
317796,24168,6922.5,6617.2,True
319811,24168,6922.4,6617.1,True
321821,24168,6922.4,6617.1,True
323831,24168,7073.2,6762.5,True
325839,24168,7073.2,6762.5,True
327850,24168,7073.2,6762.5,True
329863,24168,7224.3,6908.2,True
331872,24168,7224.8,6908.5,True
333882,24168,7224.6,6908.5,True
335891,24168,7374.8,7053.4,True
337901,24168,7374.8,7053.4,True
339916,24168,7374.8,7053.4,True
341925,24168,7376.4,7055.7,True
343934,24168,7376.4,7055.7,True
345942,24168,7376.5,7055.7,True
347951,24168,7526.3,7199.8,True
349959,24168,7526.4,7199.8,True
351971,24168,7526.3,7199.8,True
353979,24168,7676.5,7344.5,True
355989,24168,7676.1,7344.1,True
357998,24168,7676.5,7344.5,True
360007,24168,7827.2,7490,True
362018,24168,7827.3,7490,True
364027,24168,7827.3,7490,True
366036,24168,7829.1,7491.9,True
368045,24168,7829,7491.9,True
370054,24168,7829,7491.9,True
372063,24168,7829,7491.9,True
374077,24168,7829,7491.9,True
376086,24168,7829,7491.9,True
378094,24168,7828.7,7491.6,True
380102,24168,7829,7491.9,True
382110,24168,7829.2,7491.9,True
384125,24168,7829.2,7491.9,True
386135,24168,7829.1,7491.9,True
388144,24168,7829.1,7491.9,True
390153,24168,7829.1,7491.9,True
392163,24168,7829.1,7491.9,True
394172,24168,7829.1,7492,True
396188,24168,7829.1,7492,True
398198,24168,7829.2,7491.9,True
400207,24168,7829.1,7491.9,True
402217,24168,7829,7491.9,True
404227,24168,7829.1,7491.9,True
406243,24168,7829.1,7491.9,True
408254,24168,7829,7491.9,True
410262,24168,7829,7491.9,True
412272,24168,7829.1,7491.9,True
414281,24168,7829,7491.9,True
416293,24168,7829.1,7491.9,True
418302,24168,7829,7491.9,True
420312,24168,7829,7491.9,True
422320,24168,7829,7491.9,True
424328,24168,7829,7491.9,True
426338,24168,7740.6,7403.7,True
