timestamp_ms,pid,private_mb,workingset_mb,responding
128683,29668,3688.6,3490.4,True
130689,29668,3688.3,3490.1,True
132696,29668,3688.6,3490.4,True
134706,29668,3838.4,3635.1,True
136718,29668,3838.4,3635.1,True
138727,29668,3838.1,3634.8,True
140735,29668,3989.4,3780.9,True
142742,29668,3989.4,3780.9,True
144750,29668,3989.4,3780.9,True
146763,29668,4141,3927.2,True
148772,29668,4140.9,3927.2,True
150780,29668,4140.7,3926.9,True
152788,29668,4290.6,4071.6,True
154796,29668,4290.6,4071.6,True
156805,29668,4290.8,4071.8,True
158819,29668,4441.2,4216.9,True
160827,29668,4441.5,4217.2,True
162836,29668,4441.2,4216.9,True
164842,29668,4593,4363.5,True
166851,29668,4593,4363.5,True
168864,29668,4593,4363.5,True
170872,29668,4742.9,4508.2,True
172883,29668,4742.9,4508.2,True
174891,29668,4742.9,4508.2,True
176899,29668,4893.2,4653.3,True
178908,29668,4893.5,4653.6,True
180924,29668,4893.5,4653.6,True
182934,29668,5045.2,4800,True
184940,29668,5045.2,4800,True
186948,29668,5044.9,4799.7,True
188954,29668,5195.3,4944.8,True
190966,29668,5195.3,4944.8,True
192974,29668,5195.4,4944.8,True
194980,29668,5345.7,5089.9,True
196988,29668,5346,5090.2,True
198997,29668,5346,5090.2,True
201005,29668,5497.7,5236.5,True
203019,29668,5497.6,5236.4,True
205026,29668,5497.3,5236.2,True
207034,29668,5647.3,5380.9,True
209042,29668,5647.6,5381.2,True
211051,29668,5647.6,5381.2,True
213072,29668,5798.1,5526.6,True
215081,29668,5798.2,5526.7,True
217089,29668,5798.2,5526.7,True
219097,29668,5949.5,5672.6,True
221106,29668,5949.5,5672.6,True
223113,29668,5949.6,5672.6,True
225127,29668,6099.6,5817.4,True
227135,29668,6099.6,5817.4,True
229146,29668,6099.6,5817.4,True
231153,29668,6250.4,5963,True
233161,29668,6250.3,5963,True
235174,29668,6250.4,5963,True
237182,29668,6401.8,6109.2,True
239192,29668,6401.7,6109.2,True
241199,29668,6401.7,6109.2,True
243208,29668,6551.7,6253.9,True
245215,29668,6551.7,6253.9,True
247229,29668,6551.6,6253.9,True
249237,29668,6702.2,6399.1,True
251245,29668,6702.3,6399.1,True
253253,29668,6702.3,6399.1,True
255260,29668,6853.8,6545.4,True
257268,29668,6853.8,6545.4,True
259281,29668,6855,6546.5,True
261354,29668,7004.1,6690.7,True
263361,29668,7004.1,6690.7,True
265369,29668,7074.7,6721.9,True
267378,29668,7154.5,6835.9,True
269389,29668,7154.9,6836.2,True
271397,29668,7261.7,6938.8,True
273407,29668,7306,6982.1,True
275416,29668,7306.3,6982.5,True
277424,29668,7420.2,7091.1,True
279434,29668,7456.5,7127.3,True
281447,29668,7456.5,7127.3,True
283454,29668,7603.3,7252.3,True
285462,29668,7607.1,7272.7,True
287469,29668,7607.1,7272.7,True
289478,29668,7739,7397.3,True
291490,29668,7758.8,7419.1,True
293498,29668,7758.8,7419.1,True
295507,29668,7905.4,7559.2,True
297515,29668,7908.9,7564,True
299523,29668,7908.9,7564,True
301534,29668,8039.9,7688.7,True
303548,29668,8059.5,7709.7,True
305555,29668,8059.5,7709.7,True
307562,29668,8229.1,7863,True
309571,29668,8211.3,7856.1,True
311579,29668,8211.2,7856.1,True
313592,29668,8366.8,8005.3,True
315600,29668,8360.8,8000.7,True
317608,29668,8360.8,8000.7,True
319616,29668,8537.9,8171.1,True
321624,29668,8511.8,8146.5,True
323633,29668,8511.8,8146.5,True
325646,29668,8689.4,8317.1,True
327655,29668,8663.3,8292.7,True
329662,29668,8663.3,8292.7,True
331670,29668,8855,8465,True
333678,29668,8813.2,8437.4,True
335689,29668,8813.2,8437.4,True
337697,29668,8965.9,8585,True
339706,29668,8963.8,8582.9,True
341714,29668,8963.8,8582.9,True
343724,29668,9114.9,8728.7,True
345733,29668,9114.9,8728.8,True
347751,29668,9115.2,8729,True
349759,29668,9265.1,8873.8,True
351767,29668,9265.2,8873.8,True
353775,29668,9265.1,8873.8,True
355783,29668,9416,9019.3,True
357795,29668,9416.1,9019.4,True
359804,29668,9416,9019.4,True
361812,29668,9418,9021.2,True
363820,29668,9418,9021.2,True
365828,29668,9418,9021.2,True
367837,29668,9418,9021.3,True
369849,29668,9418,9021.3,True
371857,29668,9418,9021.2,True
373865,29668,9418,9021.2,True
375873,29668,9418,9021.3,True
377881,29668,9418,9021.3,True
379893,29668,9418,9021.3,True
381903,29668,9329.3,8932.8,True
